"tag","total_tweets","avg_unique_hashtag","avg_unique_mention","avg_unique_urls","avg_unique_media","avg_unique_symbol","avg_unique_anyentity","avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_anyentity","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"#BloodCancer","2118","0.3810","0.2729","0.2233","0.1780","0.0005","1.0557","4.5911","2.1025","0.7753","0.6449","0.0005","8.1143","2.6091","22.9400","0.1137"
"#Ebola","45109","0.0917","0.1034","0.1266","0.0456","0.0008","0.3681","2.3371","1.6120","0.9240","0.4376","0.0051","5.3157","0.8592","21.4214","0.0401"
"#EyeCancer","371","0.5660","0.1779","0.2399","0.0916","0.0000","1.0755","7.0836","1.4205","1.0970","0.2992","0.0000","9.9003","3.6173","21.8787","0.1653"
"#EatingDisorder","10904","0.3568","0.1717","0.2391","0.1532","0.0001","0.9209","4.1466","1.2384","0.6950","0.4367","0.0002","6.5168","2.1766","22.2219","0.0979"
"#meningococcal","222","0.3919","0.2027","0.2568","0.1622","0.0000","1.0135","3.3018","0.8964","0.9505","0.7883","0.0000","5.9369","3.7928","20.7703","0.1826"
"#KawasakiDisease","80","0.8750","0.5125","0.3000","0.2375","0.0000","1.9250","3.5125","1.7375","0.7250","0.5125","0.0000","6.4875","7.2750","21.5625","0.3374"
"#hydrocephalus","471","0.8365","0.3482","0.2930","0.1656","0.0021","1.6433","3.3482","1.4374","0.7686","0.4161","0.0085","5.9788","5.2378","23.4883","0.2230"
"#DownSyndrome","9496","0.2846","0.2238","0.1832","0.1331","0.0000","0.8248","3.1078","1.5961","0.7425","0.6077","0.0000","6.0542","1.9556","20.5952","0.0950"
"#enuresis","54","1.0370","0.2593","0.4444","0.2593","0.0000","2.0000","3.3889","1.2222","1.0556","0.2963","0.0000","5.9630","6.4074","20.4444","0.3134"
"#brucellosis","24","1.9167","0.5000","0.3750","0.4167","0.0000","3.2083","3.8750","1.0000","1.0833","0.9167","0.0000","6.8750","10.2083","24.8333","0.4111"
"#Myositis","555","0.3550","0.1441","0.2541","0.1784","0.0018","0.9333","3.6036","1.1459","0.8721","0.7261","0.0036","6.3514","3.5856","21.2613","0.1686"
"#Triglycerides","150","1.2933","0.6867","0.3000","0.2800","0.0200","2.5800","6.0800","1.4067","0.5667","0.7067","0.0333","8.7933","6.8600","23.7667","0.2886"
"#ringworm","200","1.7350","0.1400","0.3050","0.2300","0.0000","2.4100","7.1850","0.4600","0.6300","0.4000","0.0000","8.6750","5.7850","20.3650","0.2841"
"#neurofibromatosis","1207","0.2809","0.2353","0.2055","0.1690","0.0000","0.8906","2.6404","1.7357","0.7788","0.6852","0.0000","5.8401","2.8310","22.0597","0.1283"
"#CFLN","14789","0.1644","0.1627","0.1491","0.1054","0.0007","0.5823","2.9796","2.4860","0.6787","0.5894","0.0060","6.7398","1.4927","21.8460","0.0683"
"#hypospadias","45","1.2000","0.4667","0.3111","0.3556","0.0000","2.3333","3.7111","1.5111","0.6889","0.8222","0.0000","6.7333","7.6444","19.7778","0.3865"
"#Leukaemia","8510","0.2675","0.1946","0.1907","0.1644","0.0005","0.8176","3.7746","1.4525","0.8443","0.6024","0.0008","6.6746","1.9236","20.8284","0.0924"
"unknown-#stcsm","233","0.5966","0.2189","0.3777","0.2790","0.0000","1.4721","3.2446","0.8026","1.0386","0.5880","0.0000","5.6738","5.1288","19.5236","0.2627"
"#BloodClot","440","0.4955","0.1773","0.1818","0.1273","0.0000","0.9818","4.8432","1.3455","0.5795","0.4568","0.0000","7.2250","2.8955","20.3023","0.1426"
"#MultScler","11812","0.2724","0.1938","0.2444","0.1601","0.0008","0.8713","4.0765","1.1160","0.8319","0.4318","0.0065","6.4627","1.9924","20.0693","0.0993"
"#BMFSM","9","0.7778","0.5556","0.0000","0.4444","0.0000","1.7778","3.3333","1.5556","0.0000","1.0000","0.0000","5.8889","10.0000","23.7778","0.4206"
"#TransverseMyelitis","69","1.1594","1.4783","0.3478","0.1739","0.0000","3.1594","3.8406","4.2174","1.1014","0.6957","0.0000","9.8551","7.8841","21.1014","0.3736"
"#BrainAneurysm","216","0.7963","0.4213","0.2315","0.2639","0.0000","1.7130","4.5833","1.9167","0.6759","0.6991","0.0000","7.8750","5.6620","21.3565","0.2651"
"#Dermatomyositis","180","0.8556","0.4667","0.3833","0.1944","0.0056","1.9056","4.2222","2.3889","0.9278","0.5778","0.0944","8.2111","6.6833","23.4778","0.2847"
