"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#HearingLoss","3213","0.4164","0.8151","8.7332","27.1620","0.0000","0.1256","8.7491","15.9039","0.0000","0.1321","15948.7265","313732.5767","0.0000","0.1308","7076.5426","212605.1169","0.0000","0.1279"
"#Polymyalgia","8","0.8750","0.5000","26.5714","25.5268","-1.0000","-1.0000","197.7500","29.7153","-1.0000","-1.0000","1258.8571","1062.1192","-1.0000","-1.0000","1103.7500","1079.3465","-1.0000","-1.0000"
"#AnxietyDisorder","1149","0.6693","0.6345","8.4291","35.9397","0.0000","0.1365","28.0316","34.9750","0.0000","0.1564","2173.1990","8048.0102","0.0000","0.1430","3347.5995","14020.6276","0.0000","0.1070"
"#DVT","696","0.3836","0.8678","13.3146","59.0813","0.0000","0.1273","18.2417","38.6930","0.0000","0.1705","4477.6479","31909.0637","0.0000","0.1348","2490.2467","21332.4419","0.0000","0.1192"
"#hidradenitissuppurativa","98","0.6224","0.8061","21.1639","62.9024","0.0000","0.0820","46.2152","43.0554","0.0000","0.1772","2481.8197","5077.2946","0.0000","0.1967","3049.9241","5951.0313","0.0000","0.1646"
"#preventaccreta","81","0.2963","0.9877","4.4167","4.9160","0.0000","0.0833","4.8875","3.3421","0.0000","0.1125","2670.3750","5676.5331","0.0000","0.2083","1817.3375","5125.8342","0.0000","0.1125"
"#IntestinalFailure","76","0.4605","0.9605","23.7429","81.4704","0.0000","0.0857","21.2466","57.0958","0.0000","0.0959","2999.6571","4244.4776","0.0000","0.1429","1713.4384","2910.5079","0.0000","0.1096"
"#MCAM","496","0.6048","0.6169","12.8067","69.4304","0.0000","0.1467","23.8170","65.3749","0.0000","0.1307","6355.9967","56846.2843","0.0000","0.1300","7647.1699","59513.5425","0.0000","0.1503"
"unknown-#BetterLCLives","4666","0.4153","0.8676","16.5186","60.0432","0.0000","0.1166","17.3177","33.3736","0.0000","0.1964","11632.2487","127325.0252","0.0000","0.1362","5956.0294","88642.1876","0.0000","0.1314"
"#RiftValleyFever","29","0.4138","0.8276","25.2500","64.0697","0.0000","0.0833","18.9583","46.2908","0.0000","0.1250","15167.7500","40833.4741","0.0000","0.0833","2246.2083","3379.9517","0.0000","0.1667"
