"tag","total","%_retweeted","avg_rt_freq","%_liked","avg_like_freq","%_replied","avg_reply_freq","%_interacted","avg_interact_freq","as_replies","as_quotes"
"#pancreatitis","267","0.9026","23.9176","0.2247","0.9288","0.0000","0.0000","1.0000","24.8464","0.0187","0.1236"
"#HeartFailure","2612","0.9456","23.3576","0.1975","1.8541","0.0000","0.0000","1.0000","25.2117","0.0092","0.1164"
"#HoFH","47","0.5319","2.8936","0.5745","1.7447","0.0000","0.0000","1.0000","4.6383","0.0213","0.5957"
"#eosinophilicesophagitis","16","0.6875","7.1875","0.3750","1.5000","0.0000","0.0000","1.0000","8.6875","0.0625","0.4375"
"#Huntingtonsdisease","1666","0.9394","5.5072","0.2455","1.2479","0.0000","0.0000","1.0000","6.7551","0.0102","0.1297"
"#Mesothelioma","2120","0.9156","7.2151","0.2608","1.1910","0.0000","0.0000","1.0000","8.4061","0.0142","0.1335"
"#Autism","50785","0.9032","61.4854","0.2498","1.5484","0.0000","0.0000","1.0000","63.0338","0.0146","0.1510"
"#TNBC","260","0.9115","16.4654","0.2346","1.6423","0.0000","0.0000","1.0000","18.1077","0.0231","0.1154"
"#Hernia","591","0.9408","12.8291","0.1827","1.0592","0.0000","0.0000","1.0000","13.8883","0.0169","0.1946"
"#chickenpox","297","0.7542","22.3401","0.3401","1.3232","0.0000","0.0000","1.0000","23.6633","0.0269","0.0741"
"#Asthma","10133","0.9130","41.5457","0.2088","1.3101","0.0000","0.0000","1.0000","42.8558","0.0105","0.1091"
"#SickleCell","2587","0.9760","59.2899","0.1813","0.8779","0.0000","0.0000","1.0000","60.1678","0.0120","0.1167"
"#CharcotMarieTooth","35","0.7714","1.9714","0.4286","1.1143","0.0000","0.0000","1.0000","3.0857","0.0286","0.1714"
"#nonhodgkinslymphoma","156","0.9872","3.2115","0.1282","0.1795","0.0000","0.0000","1.0000","3.3910","0.0000","0.0000"
"#PolycysticOvarianSyndrome","37","0.7838","2.2432","0.3514","1.1622","0.0000","0.0000","1.0000","3.4054","0.0000","0.1622"
"#ChronicMigraine","315","0.8476","3.1175","0.3619","1.0984","0.0000","0.0000","1.0000","4.2159","0.0317","0.1683"
"#Rhabdomyosarcoma","221","0.9774","28.5294","0.1222","2.0498","0.0000","0.0000","1.0000","30.5792","0.0000","0.2715"
"#Adhesions","13","0.6923","1.3077","0.5385","1.0769","0.0000","0.0000","1.0000","2.3846","0.0769","0.2308"
"#YellowFever","1033","0.9245","18.9293","0.1994","1.7928","0.0000","0.0000","1.0000","20.7222","0.0252","0.1578"
"unknown-#MenHaveBreastsToo","368","0.9592","9.4946","0.2065","1.4484","0.0000","0.0000","1.0000","10.9429","0.0245","0.1630"
"#Enterovirus68","0","0","0","0","0","0","0","0","0",,
"#KidneyDisease","2839","0.9271","1254.7725","0.1691","0.7591","0.0000","0.0000","1.0000","1255.5315","0.0046","0.0997"
"#GvHD","111","0.9189","7.6126","0.3063","2.1081","0.0000","0.0000","1.0000","9.7207","0.0000","0.0270"
"#Colitis","3135","0.9231","58.0421","0.2041","1.5860","0.0000","0.0000","1.0000","59.6281","0.0019","0.1136"
"#BleedingDisorder","171","0.8713","3.0526","0.4211","1.8012","0.0000","0.0000","1.0000","4.8538","0.0000","0.0760"
"#HearingLoss","2808","0.8266","48.5057","0.3312","1.1065","0.0000","0.0000","1.0000","49.6122","0.0032","0.1207"
"#Polymyalgia","6","0.3333","0.6667","0.6667","0.6667","0.0000","0.0000","1.0000","1.3333","0.1667","0.0000"
"#AnxietyDisorder","712","0.7542","6.5449","0.4143","1.8736","0.0000","0.0000","1.0000","8.4185","0.0183","0.0744"
"#DVT","612","0.9216","15.5049","0.2059","1.2729","0.0000","0.0000","1.0000","16.7778","0.0180","0.1471"
"#hidradenitissuppurativa","296","0.7703","2.0338","0.3818","0.8480","0.0000","0.0000","1.0000","2.8818","0.1182","0.1182"
"#preventaccreta","90","0.9333","5.1222","0.2000","1.0111","0.0000","0.0000","1.0000","6.1333","0.0222","0.6333"
"#IntestinalFailure","77","0.9351","9.0779","0.2338","1.5325","0.0000","0.0000","1.0000","10.6104","0.0390","0.2987"
"#MCAM","546","0.9744","2.7179","0.1923","0.4212","0.0000","0.0000","1.0000","3.1392","0.0000","0.0916"
"unknown-#BetterLCLives","5958","0.9460","21.3525","0.1905","1.2623","0.0000","0.0000","1.0000","22.6148","0.0055","0.1571"
"#RiftValleyFever","16","0.8750","4.8750","0.5000","0.7500","0.0000","0.0000","1.0000","5.6250","0.0000","0.0625"
"#HeatStroke","454","0.8833","34.6630","0.2665","1.2401","0.0000","0.0000","1.0000","35.9031","0.0110","0.1344"
"#wombcancer","378","0.9497","7.4815","0.2143","0.7540","0.0000","0.0000","1.0000","8.2354","0.0079","0.1481"
"#AnorexiaNervosa","53","0.8679","4.7358","0.3208","1.7925","0.0000","0.0000","1.0000","6.5283","0.0189","0.1132"
"#TrigeminalNeuralgia","234","0.7863","5.1325","0.3803","1.9060","0.0000","0.0000","1.0000","7.0385","0.0214","0.1752"
"#ThroatCancer","78","0.9359","37.0128","0.1410","0.5000","0.0000","0.0000","1.0000","37.5128","0.0256","0.5641"
"#dupuytrens","6","1.0000","5.6667","0.0000","0.0000","0.0000","0.0000","1.0000","5.6667","0.0000","0.0000"
"#ADHD","8662","0.8372","21.9718","0.3183","1.5937","0.0000","0.0000","1.0000","23.5656","0.0224","0.1332"
"#praderwilli","42","0.9048","1.8810","0.4048","1.3333","0.0000","0.0000","1.0000","3.2143","0.0000","0.0476"
"#Rheum","2227","0.8222","6.3013","0.3651","1.8154","0.0000","0.0000","1.0000","8.1167","0.0305","0.1464"
"#Pneumonia","851","0.9295","24.5394","0.1915","1.6275","0.0000","0.0000","1.0000","26.1669","0.0106","0.1210"
"#porphyria","13","0.6154","4.2308","0.3846","0.6154","0.0000","0.0000","1.0000","4.8462","0.0000","0.0769"
"#ADPKD","312","0.8558","14.4006","0.2917","1.6731","0.0000","0.0000","1.0000","16.0737","0.0192","0.2019"
"unknown-#CRCSM","2043","0.9202","14.9457","0.2203","1.1464","0.0000","0.0000","1.0000","16.0920","0.0064","0.1101"
"#BodyDysmorphicDisorder","18","0.7778","2.3333","0.5556","1.4444","0.0000","0.0000","1.0000","3.7778","0.0556","0.0000"
"#BowelCancer","1027","0.8968","17.7059","0.2950","1.8909","0.0000","0.0000","1.0000","19.5969","0.0136","0.2045"
"#KidneyStones","394","0.8477","3.9518","0.3934","1.0000","0.0000","0.0000","1.0000","4.9518","0.0051","0.0228"
"#STD","1294","0.8802","81.8006","0.2589","1.1020","0.0000","0.0000","1.0000","82.9026","0.0348","0.0958"
"#Gestationaldiabetes","160","0.9000","11.5250","0.2750","1.0000","0.0000","0.0000","1.0000","12.5250","0.0000","0.1125"
"unknown-#BCD2020","22676","0.8886","81.6377","0.2645","1.9442","0.0000","0.0000","1.0000","83.5819","0.0255","0.1624"
"#KeratosisPilaris","7","0.2857","0.8571","0.7143","0.8571","0.0000","0.0000","1.0000","1.7143","0.0000","0.0000"
"#LiFraumeni","88","0.8182","2.8636","0.3977","1.3295","0.0000","0.0000","1.0000","4.1932","0.0227","0.0795"
"#Bedwetting","112","0.8661","6.5625","0.2411","0.8750","0.0000","0.0000","1.0000","7.4375","0.0000","0.0982"
"#Autoimmune","2657","0.8559","13.0324","0.2939","1.5235","0.0000","0.0000","1.0000","14.5559","0.0162","0.1457"
"#BladderCancer","7574","0.9364","16.6930","0.2210","1.5016","0.0000","0.0000","1.0000","18.1946","0.0191","0.2532"
"#Bipolar","10020","0.8469","226.3501","0.3098","1.8503","0.0000","0.0000","1.0000","228.2004","0.0250","0.1084"
"#Bursitis","9","0.5556","0.5556","0.5556","0.5556","0.0000","0.0000","1.0000","1.1111","0.0000","0.0000"
"#KidneyCancer","1327","0.9299","49.0106","0.2298","2.2404","0.0000","0.0000","1.0000","51.2509","0.0158","0.2133"
"#Hypoglycemia","293","0.8976","8.9249","0.2799","1.5256","0.0000","0.0000","1.0000","10.4505","0.0102","0.1195"
"#PulmonaryEmbolism","364","0.9615","115.5742","0.1099","0.6071","0.0000","0.0000","1.0000","116.1813","0.0055","0.1566"
"#Sciatica","553","0.6130","108.6275","0.5208","1.5660","0.0000","0.0000","1.0000","110.1935","0.0090","0.0398"
"#Synesthesia","197","0.7360","2.3299","0.4264","1.7310","0.0000","0.0000","1.0000","4.0609","0.0355","0.1117"
"#Sepsis","14753","0.9598","190.5549","0.1438","1.5657","0.0000","0.0000","1.0000","192.1207","0.0130","0.1420"
"#MdrTB","70","0.9571","10.7000","0.1429","0.4429","0.0000","0.0000","1.0000","11.1429","0.0143","0.0714"
"unknown-#MMSM","1778","0.9089","5.4961","0.3015","1.4809","0.0000","0.0000","1.0000","6.9769","0.0124","0.1187"
"#ClusterHeadaches","231","0.7359","3.2165","0.4719","1.6926","0.0000","0.0000","1.0000","4.9091","0.1126","0.2165"
"#Andropause","28","0.7500","2.1429","0.2857","0.5000","0.0000","0.0000","1.0000","2.6429","0.2143","0.0000"
"#Neuropathy","400","0.7250","8.1600","0.4200","1.1900","0.0000","0.0000","1.0000","9.3500","0.0100","0.0375"
"#devlangdis","863","0.9224","13.3685","0.2225","1.6999","0.0000","0.0000","1.0000","15.0684","0.0336","0.3082"
"#Paget","10","0.8000","1.5000","0.6000","1.9000","0.0000","0.0000","1.0000","3.4000","0.1000","0.3000"
"#Arthritis","4717","0.8459","9.4043","0.3371","1.3184","0.0000","0.0000","1.0000","10.7227","0.0144","0.0918"
"unknown-#CryoGroup","3","1.0000","4.0000","0.3333","1.6667","0.0000","0.0000","1.0000","5.6667","0.0000","0.0000"
"#EColi","1333","0.8455","9.6294","0.3046","1.0345","0.0000","0.0000","1.0000","10.6639","0.0180","0.1110"
