"%_retweeted","avg_rt_freq","%_liked","avg_like_freq","avg_interact_freq","as_replies","as_quotes"
"0.9495","15.7953","0.1934","1.1429","16.9382","0.0157","0.1594"
"0.8814","33.5034","0.2601","1.5480","35.0514","0.0121","0.1400"
"0.8765","77.6941","0.1882","1.0235","78.7176","0.0059","0.2412"
"0.8318","6.0841","0.3364","1.7002","7.7843","0.0037","0.0475"
"0.8947","50.3308","0.2343","1.9787","52.3095","0.0165","0.1168"
"0.9048","3.5238","0.2619","2.8333","6.3571","0.0476","0.3095"
"0.8841","7.9391","0.2899","1.5217","9.4609","0.0145","0.1391"
"0.8886","18.0039","0.2586","1.1010","19.1049","0.0137","0.1668"
"0.8750","5.0500","0.3125","1.6750","6.7250","0.0063","0.1250"
"0.9000","9.7429","0.2500","2.4286","12.1714","0.0214","0.0429"
"0.6622","2.3243","0.4730","0.9595","3.2838","0.0270","0.1081"
"0.9336","3.6556","0.3361","1.3651","5.0207","0.0000","0.1328"
"0.6696","7.3072","0.4870","1.5652","8.8725","0.0290","0.1826"
"0.8421","4.5526","0.3684","1.5000","6.0526","0.0000","0.1053"
"0.8877","12.4238","0.2783","1.4521","13.8760","0.0137","0.1543"
"0.8168","7.6916","0.3496","1.2901","8.9817","0.0168","0.1298"
"0.6000","2.4000","0.5333","1.2267","3.6267","0.0000","0.0000"
"0.5357","3.2500","0.5357","1.2857","4.5357","0.1786","0.0000"
"0.9293","9.7609","0.2283","2.2826","12.0435","0.0163","0.2989"
"0.8150","8.6629","0.3589","1.6923","10.3552","0.0195","0.1437"
"0.9024","16.8397","0.2234","0.9821","17.8218","0.0076","0.1056"
"0.9020","3.6275","0.2876","0.8366","4.4641","0.0000","0.0327"
"0.8140","15.3860","0.3193","2.4737","17.8596","0.0211","0.1649"
"0.9313","4.5063","0.2250","0.9750","5.4813","0.0063","0.1875"
"0.8214","2.5357","0.4286","1.3214","3.8571","0.0357","0.1071"
"0.8182","4.4545","0.4091","1.0455","5.5000","0.0000","0.1364"
"0.8364","7.6364","0.3091","0.7636","8.4000","0.0545","0.0364"
"0.9118","3.7647","0.3235","2.1765","5.9412","0.0882","0.3529"
"0.8738","4.4175","0.3495","2.4563","6.8738","0.0000","0.2330"
"0.8049","3.5610","0.4268","1.5244","5.0854","0.0366","0.1585"
"0.7222","3.0556","0.4259","2.2222","5.2778","0.0370","0.2037"
"0.9032","15.8172","0.2151","0.8710","16.6882","0.0215","0.1935"
"0.8030","4.6061","0.3636","0.9697","5.5758","0.0152","0.0606"
"0.8395","2.7160","0.4074","1.8765","4.5926","0.0556","0.0494"
"0.9133","248.6486","0.2025","1.3753","250.0238","0.0214","0.1327"
"0.8597","4.8355","0.3247","1.4918","6.3273","0.0693","0.2329"
"0.9059","9.0565","0.2581","1.2285","10.2849","0.0323","0.1022"
"0.7188","11.8019","0.4153","1.0639","12.8658","0.0671","0.1086"
"0.9167","21.5714","0.2976","2.3452","23.9167","0.0238","0.2381"
"0.9203","4.0996","0.3108","1.2869","5.3865","0.0040","0.1315"
"0.9552","84.6685","0.1231","2.7021","87.3706","0.0056","0.2881"
