"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"3.7745","1.4527","0.8446","0.6026","0.0008","1.9231","20.8284","0.0923"
"3.2446","0.8026","1.0386","0.5880","0.0000","5.1288","19.5236","0.2627"
"4.8432","1.3455","0.5795","0.4568","0.0000","2.8955","20.3023","0.1426"
"4.0765","1.1160","0.8319","0.4318","0.0065","1.9924","20.0693","0.0993"
"3.2367","1.5168","0.8673","0.4561","0.0760","3.4612","21.4184","0.1616"
"2.9655","1.3793","0.9138","0.6034","0.0172","6.3966","21.2586","0.3009"
"3.7247","2.3068","0.8871","0.6550","0.0000","1.5029","22.4360","0.0670"
"4.1830","1.4905","0.7606","0.5906","0.0003","1.8010","20.1972","0.0892"
"1.8939","1.0168","0.9665","0.2514","0.0000","4.5140","19.3073","0.2338"
"6.8529","0.7876","0.9281","0.6242","0.0033","5.4706","19.5229","0.2802"
"3.5098","1.9073","0.9430","0.6239","0.0018","3.0517","21.3529","0.1429"
"4.1450","1.9710","0.5440","0.8292","0.0053","1.5041","22.4676","0.0669"
"3.8033","0.7623","0.6926","0.4918","0.0000","6.2992","19.0943","0.3299"
"4.0362","1.7646","0.7730","0.4916","0.0000","3.9624","21.1560","0.1873"
"4.9214","0.8750","0.9439","0.6597","0.0128","2.2063","18.4784","0.1194"
"3.4176","3.1149","0.9055","0.7650","0.0000","2.0613","18.6271","0.1107"
"3.5346","1.6972","0.7289","0.4954","0.0008","2.1089","21.3895","0.0986"
"2.8153","2.4429","0.9339","0.4324","0.0015","3.0285","21.3844","0.1416"
"6.1226","2.2517","0.7008","0.6479","0.0074","2.6403","21.4147","0.1233"
"3.3529","0.8289","0.6738","0.7647","0.0000","3.7540","20.5187","0.1830"
"5.2921","1.0898","0.5606","0.4840","0.0000","2.1731","23.9598","0.0907"
"4.3406","0.7099","0.5649","0.3609","0.0000","3.5481","17.8398","0.1989"
"5.8074","2.1628","0.5059","0.4415","0.0007","2.5717","22.4117","0.1147"
"4.6261","1.1717","0.8659","0.5088","0.0237","2.6308","22.2460","0.1183"
"3.5752","1.2643","0.8940","0.5546","0.0002","1.9488","21.3641","0.0912"
"3.8002","2.2745","0.3679","0.8271","0.0010","1.8872","21.2990","0.0886"
"3.8279","1.5493","0.4079","0.5884","0.0060","2.0684","20.8651","0.0991"
"2.8434","0.3939","0.6162","0.3889","0.0000","3.5758","17.2273","0.2076"
"3.4464","1.7172","0.8365","0.5603","0.0214","4.1381","22.1568","0.1868"
"4.4675","1.7629","0.8651","0.4553","0.0006","2.4190","22.1907","0.1090"
"4.3895","1.2938","0.8815","0.5558","0.0000","3.5626","20.1993","0.1764"
"5.3158","1.6948","0.5485","0.3706","0.0021","3.1069","20.9895","0.1480"
"2.7586","1.7759","0.7931","0.4655","0.0000","6.9138","22.4138","0.3085"
"2.8077","1.8615","0.7615","0.4462","0.0000","6.4077","22.2154","0.2884"
"4.7961","2.1632","0.8641","0.7281","0.0000","2.2517","20.3738","0.1105"
"3.9898","1.1425","0.8702","0.3969","0.0000","5.2036","20.5776","0.2529"
