"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#skintag","33","0.8485","0.2727","4.9286","8.4016","0.0000","0.1786","6.5556","6.5383","-1.0000","-1.0000","1927.5714","7144.0886","0.0000","0.1071","2419.1111","6301.9075","-1.0000","-1.0000"
"#Cholera","3654","0.2819","0.9343","10.5019","31.1231","0.0000","0.1262","10.5026","15.8243","-1.0000","-1.0000","39758.5301","520111.1397","0.0000","0.1456","9565.0103","198163.5221","0.0000","0.1309"
"#pancreatitis","450","0.5133","0.8067","15.9740","40.5479","0.0000","0.1212","26.6364","27.5392","0.0000","0.1460","5021.7359","35321.2494","0.0000","0.1126","3609.6171","28322.2518","0.0000","0.1129"
"#HeartFailure","2825","0.3423","0.8828","16.7570","83.5871","0.0000","0.1262","16.2811","49.7258","0.0000","0.1339","4042.4478","12552.6025","0.0000","0.1396","3053.1640","40522.8177","0.0000","0.1423"
"#HoFH","34","0.7647","1.0000","19.5385","28.9941","0.0000","0.1154","25.1471","26.6014","0.0000","0.0882","1570.9231","2509.9501","0.0000","0.1154","1331.9706","2244.2018","0.0000","0.1176"
"#eosinophilicesophagitis","42","0.4762","0.8333","10.6500","23.3357","0.0000","0.1000","19.7429","17.5387","0.0000","0.0857","2360.0500","7009.6005","0.0000","0.0500","4461.2286","10606.1201","0.0000","0.1143"
"#Mesothelioma","1257","0.4033","0.8799","18.7377","101.6830","0.0000","0.1479","19.4123","39.3460","0.0000","0.1881","6829.5562","46534.7313","0.0000","0.1026","3484.8255","25010.5409","0.0000","0.1121"
"#TNBC","386","0.4404","0.8990","32.1059","119.2749","0.0000","0.1176","44.3833","84.3482","0.0000","0.1902","3663.3824","10008.9912","0.0000","0.1235","2337.6484","7680.2838","0.0000","0.1210"
"#Hernia","640","0.4375","0.7563","11.5214","29.7309","0.0000","0.1393","12.3822","15.6345","0.0000","0.1302","3054.0857","19593.2101","0.0000","0.0964","2868.4876","16541.0284","0.0000","0.1095"
"#chickenpox","456","0.5526","0.6469","18.6508","73.1398","0.0000","0.1349","43.4814","55.0102","0.0000","0.1932","7703.9087","71716.2824","0.0000","0.1349","5013.3525","27039.1938","0.0000","0.1186"
"#Asthma","12766","0.3964","0.8212","8.9818","39.2185","0.0000","0.1223","10.2936","26.2888","0.0000","0.1329","16844.6455","281990.3541","0.0000","0.1340","7808.0613","176464.8299","0.0000","0.1261"
"#SickleCell","1709","0.3721","0.8912","11.5252","53.9953","0.0000","0.1164","17.7603","35.2743","0.0000","0.1510","7504.1871","54562.7537","0.0000","0.1384","4094.3749","28863.8011","0.0000","0.1280"
"#PolycysticOvarianSyndrome","53","0.6792","0.7547","17.6389","30.2023","0.0000","0.1667","45.7000","27.0621","0.0000","0.1250","6900.9444","22753.3808","0.0000","0.1389","3150.0250","9748.7784","0.0000","0.1000"
"#ChronicMigraine","231","0.7100","0.8225","20.8720","69.1180","0.0000","0.0976","30.9684","64.7604","0.0000","0.1211","1886.8902","3582.7128","0.0000","0.1037","2166.6368","4887.0928","0.0000","0.1158"
"#Rhabdomyosarcoma","260","0.3154","0.9615","22.3171","123.0584","0.0000","0.1585","36.1960","70.9622","0.0000","0.1560","6443.6707","32169.4517","0.0000","0.1463","5114.9840","26772.0642","0.0000","0.1280"
"#Adhesions","35","0.7714","0.6571","8.2963","10.6186","0.0000","0.1111","20.5217","11.8039","0.0000","0.0000","1559.4815","2717.9422","0.0000","0.0741","1926.6522","2956.1194","0.0000","0.0435"
"unknown-#MenHaveBreastsToo","357","0.5434","0.9300","29.1186","99.1436","0.0000","0.1082","41.3373","66.6031","0.0000","0.1717","7280.7268","38630.7925","0.0000","0.1186","4976.8554","29737.4819","0.0000","0.1386"
"#Enterovirus68","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#KidneyDisease","2802","0.3251","0.8787","17.3095","82.5270","0.0000","0.1548","17.5260","50.0118","-1.0000","-1.0000","4594.7475","25400.2697","0.0000","0.1350","4126.8822","30743.6610","0.0000","0.1499"
"#Colitis","2904","0.4211","0.8795","9.5724","37.9367","0.0000","0.1415","14.3089","25.6766","0.0000","0.1621","2425.8635","10675.7095","0.0000","0.1218","1929.0192","9364.8396","0.0000","0.1249"
"#BleedingDisorder","176","0.5739","0.8466","8.9010","17.1345","0.0000","0.0990","18.8993","14.4566","0.0000","0.1275","2616.4752","10000.5904","0.0000","0.1188","1865.3691","8229.8519","0.0000","0.1074"
"#Polymyalgia","8","0.8750","0.5000","26.5714","25.5268","-1.0000","-1.0000","197.7500","29.7153","-1.0000","-1.0000","1238.0000","1056.0205","-1.0000","-1.0000","1084.2500","1068.4878","-1.0000","-1.0000"
